province,market,type,name,standard,area,color,unit,minprice,avgprice,maxprice,entertime,time
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-3-31
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-3-30
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-3-29
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-3-28
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-3-27
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-3-26
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-3-25
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-3-24
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-3-23
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-3-22
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-3-21
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-3-20
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-3-19
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-3-18
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-3-17
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-3-16
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-15
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-14
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-13
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-12
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-11
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-10
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-9
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-8
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-7
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-3-6
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-3-5
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-3-4
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-3-3
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-3-2
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9,,,2020-3-1
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9,,,2020-2-29
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,9,,,2020-2-28
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-27
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-26
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-25
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-24
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10,,,2020-2-23
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10,,,2020-2-22
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,10,,,2020-2-21
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-20
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-19
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-18
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-17
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-16
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-15
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-14
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-13
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-2-12
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-2-11
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-2-10
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-9
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-8
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-7
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-6
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-2-5
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-2-4
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-2
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-2-1
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-1-31
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-1-30
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-1-29
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-1-28
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-1-27
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-1-23
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2020-1-22
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-21
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-1-20
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-1-19
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-1-18
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-1-17
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-1-16
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,5,,,2020-1-15
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-14
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-13
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-12
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-11
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-10
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-9
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-8
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-1-7
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,6,,,2020-1-6
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-5
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-4
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-3
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-2
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2020-1-1
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,7,,,2019-12-31
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,,,红色,公斤,,8,,,2019-12-30
