province,market,type,name,time,time_diff
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-2,30.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-1,29.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-29,28.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-28,27.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-27,26.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-26,25.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-25,24.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-24,23.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-23,22.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-22,21.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-21,20.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-20,19.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-19,18.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-18,17.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-17,16.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-16,15.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-15,14.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-14,13.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-13,12.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-12,11.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-11,10.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-10,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-9,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-8,7.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-7,6.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-6,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-5,4.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-4,3.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-2,1.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-1,0.0
