province,market,type,name,time,_last_sell,_first_sell,_last_price
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-2,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-1,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-29,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-28,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-27,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-26,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-25,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-24,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-23,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-22,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-21,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-20,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-19,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-18,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-17,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-16,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-15,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-14,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-13,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-12,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-11,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-10,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-9,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-8,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-7,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-6,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-5,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-4,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-2,37.0,761.0,8.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-2-1,37.0,761.0,8.0
