province,market,type,name,time,y,_1day_avg,_1day_std,_1day_min
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-31,7.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-30,7.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-29,6.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-28,6.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-27,6.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-26,5.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-25,5.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-24,6.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-23,6.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-22,7.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-21,7.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-20,7.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-19,5.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-18,5.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-17,5.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-16,5.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-15,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-14,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-13,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-12,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-11,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-10,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-9,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-8,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-7,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-6,8.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-5,7.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-4,7.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-3,6.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-2,6.0,9.0,,9.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-1,9.0,9.0,,9.0
